# The Department of Energy (DOE) test procedure has been changed significantly. As a result, Energy Factor (EF) ratings are being replaced with Uniform Energy Factor (UEF) ratings. Currently this directory lists only models that were available before July 13, 2015, and their EF ratings.
# Models that have been introduced to the market on or after July 13, 2015 are required to use the revised test procedure and have a UEF rating. Those new models are viewable on a separate page here .
# Process an AHRI Residential Water Heater directory file
# https://www.ahridirectory.org/ahridirectory/pages/rwh/RWHDirectory.pdf
# downloaded 2017-05-11 08:47:38
AHRI Reference Number,Model Status,Trade/Brand Name,Manufacturer,Model Number,Energy Source,Heater Type,Usage Bin,First Hour Rating,MaxGPM,Uniform Energy  Factor,Nominal  Capacity (gal),Rated Storage Volume,Input (MBtuh/kW),Recovery Efficiency (%),Sold In
8868716,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C2857WS-FF US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.1,0.9,0,1,180,94,USA
9857525,Active,MARQUIS;TRIANGLE TUBE,TRIANGLE TUBE PHASE III INC.,TWH180,Natural Gas,Instantaneous,High Usage,,5.1,0.94,0,1,180,98,USA; Canada
9857526,Active,MARQUIS;TRIANGLE TUBE,TRIANGLE TUBE PHASE III INC.,TWH180LP,Propane Gas,Instantaneous,High Usage,,5.1,0.94,0,1,180,98,USA; Canada
9008279,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATO-510U 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9008277,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-510U-E 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9008273,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-510U-I 200,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9008278,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-510U-E 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9008274,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-510U-I 200,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9008276,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-510U-E 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9008272,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-510U-I 200,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9007179,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-510U-E 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9007176,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-510U-I 200,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9970144,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-510U,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9970164,Active,LOCHINVAR,"LOCHINVAR, LLC",LTO-510U,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
9008284,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-510-I 200,Natural Gas,Instantaneous,High Usage,,5,0.82,0,1,199,84,USA
9008285,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-510U-E 200,Natural Gas,Instantaneous,High Usage,,5,0.81,0,1,199,84,USA
8703520,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATI-510C-N,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
8703522,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-510C-NI,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
8703523,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-510C-NI,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
8703521,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-510C-NI,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
8703519,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-510C-NI,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
9969156,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-510C,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
8746424,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-510C-NI,Natural Gas,Instantaneous,High Usage,,4.9,0.81,1,1,199,84,USA
9008271,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATO-310U 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9008269,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-310U-E 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9008270,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-310U-E 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9008268,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-310U-E 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9007178,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-310U-E 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9970059,Active,LOCHINVAR,"LOCHINVAR, LLC",LTO-310U,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
9008283,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-310U-E 200,Natural Gas,Instantaneous,High Usage,,4.8,0.82,0,1,190,85,USA
8703515,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATI-310C-N,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9008267,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATI-310U 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
8703516,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-310C-NI,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9008265,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-310U-I 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
8703518,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-310C-GI,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9008266,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-310U-I 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
8703517,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-310C-NI,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9008264,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-310U-I 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
8703514,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-310C-NI,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9007175,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-310U-I 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
9969111,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-310C,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9970092,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-310U,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
8746423,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-310C-NI,Natural Gas,Instantaneous,High Usage,,4.7,0.82,1,1,190,85,USA
9008282,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-310U-I 200,Natural Gas,Instantaneous,High Usage,,4.7,0.82,0,1,190,84,USA
9963061,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SE 160,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.7,0.97,0,1,160,100,USA; Canada
9963062,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SEO 160,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.7,0.97,0,1,160,100,USA; Canada
9963063,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9900 SE 160,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.7,0.97,0,1,160,100,USA; Canada
8868349,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-2457WS-FFA US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.5,0.8,0,1,180,83,USA
10102537,Active,HTP,"HTP, INC.",RT-150,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.5,0.93,1,1,150,95,USA; Canada
10147094,Active,HTP,"HTP, INC.",RTO-150,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,4.5,0.93,1,1,150,95,USA; Canada
8552533,Active,RAYPAK,"RHEEM SALES COMPANY, INC.",NH-208XLP-1,Propane Gas,Instantaneous,High Usage,,4.3,0.82,20,20,199.9,83,USA
10147090,Active,WESTINGHOUSE,"HTP, INC.",WGRTNG150,Natural Gas,Instantaneous,Medium Usage,,3.8,0.93,1,1,150,95,USA; Canada
10147093,Active,WESTINGHOUSE,"HTP, INC.",WGRTONG150,Natural Gas,Instantaneous,Medium Usage,,3.8,0.93,1,1,150,95,USA; Canada
10147091,Active,WESTINGHOUSE,"HTP, INC.",WGRTLP150,Propane Gas,Instantaneous,Medium Usage,,3.8,0.93,1,1,150,95,USA; Canada
10147092,Active,WESTINGHOUSE,"HTP, INC.",WGRTOLP150,Propane Gas,Instantaneous,Medium Usage,,3.8,0.93,1,1,150,95,USA; Canada
9007180,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATI-110U 200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9007182,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-110U-I-200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9007183,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-110U-I 200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9007186,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-110U-I 200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9007174,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-110U-I 200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9969036,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-110C,Natural Gas,Instantaneous,Medium Usage,,3.6,0.8,1,1,140,82,USA
9969908,Active,LOCHINVAR,"LOCHINVAR, LLC",LTI-110U,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
8746422,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-110C-NI,Natural Gas,Instantaneous,Medium Usage,,3.6,0.8,1,1,140,82,USA
9008280,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-110U-I 200,Natural Gas,Instantaneous,Medium Usage,,3.6,0.81,0,1,140,85,USA
9008262,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,ATO-110U 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9008260,Active,AMERICAN,A.O. SMITH WATER PRODUCTS CO.,GT-110U-E 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9008261,Active,RELIANCE,A.O. SMITH WATER PRODUCTS CO.,TS-110U-E 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9008259,Active,STATE,A.O. SMITH WATER PRODUCTS CO.,GTS-110U-E 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9007177,Active,TAKAGI,A.O. SMITH WATER PRODUCTS CO.,TK-110U-E 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9970009,Active,LOCHINVAR,"LOCHINVAR, LLC",LTO-110U,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9008281,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,GTU-110U-E 200,Natural Gas,Instantaneous,Medium Usage,,3.5,0.81,0,1,140,83,USA
9850203,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T4600 S 103 NG,Natural Gas,Instantaneous,Low Usage,,2.5,0.82,0,1,103.2,84,USA; Canada
9850205,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T4600 SO 103 NG,Natural Gas,Instantaneous,Low Usage,,2.5,0.82,0,1,103.2,84,USA; Canada
9850204,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T4600 S 103 LP,Propane Gas,Instantaneous,Low Usage,,2.5,0.82,0,1,103.2,84,USA; Canada
9850206,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T4600 SO 103 LP,Propane Gas,Instantaneous,Low Usage,,2.5,0.82,0,1,103.2,84,USA; Canada
8395062,Active,EEMAX,EEMAX INC.,EX3012,Electric Resistance,Instantaneous,Very Small Usage,,0.2,0.98,1,20,3,98,USA
10071906,Active,HHP,HHP,HHP30120B,Electric Resistance,Instantaneous,Very Small Usage,,0.2,0.98,1,20,3,98,USA
8377556,Active,EEMAX,EEMAX INC.,EX2412,Electric Resistance,Instantaneous,Very Small Usage,,0.2,0.98,0,1,2.4,98,USA; Canada
10071896,Active,HHP,HHP,HHP24120B,Electric Resistance,Instantaneous,Very Small Usage,,0.2,0.98,0,1,2.4,98,USA; Canada
8395061,Active,EEMAX,EEMAX INC.,EX3512,Electric Resistance,Instantaneous,Very Small Usage,,0.1,0.98,1,1,3.5,98,USA; Canada
10071897,Active,HHP,HHP,HHP35120B,Electric Resistance,Instantaneous,Very Small Usage,,0.1,0.98,1,1,3.5,98,USA; Canada
10103209,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FCG 100* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103210,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FCG 100* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103211,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,PCG 100* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103219,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,PCG 100* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103218,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G122-100T77-4NOV* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103217,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G62-100T77-4NOV* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103225,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G62-100T77-4PV* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103214,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 100 XRRT* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103215,Active,LOCHINVAR,"LOCHINVAR, LLC",LTN10075 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103216,Active,LOCHINVAR,"LOCHINVAR, LLC",XTN10075 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103222,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 100 CRRT* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103223,Active,LOCHINVAR,"LOCHINVAR, LLC",LTL10075 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103224,Active,LOCHINVAR,"LOCHINVAR, LLC",XTL10075 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103212,Active,STATE,STATE WATER HEATERS,GS6 100 XRRT* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103213,Active,STATE,STATE WATER HEATERS,GSX 100 XRRT* 400,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103220,Active,STATE,STATE WATER HEATERS,GS6 100 CRRT* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10103221,Active,STATE,STATE WATER HEATERS,GSX 100 CRRT* 401,Natural Gas,Storage,High Usage,170,,0.58,98,95,75.1,79,USA
10201256,Active,HTP,"HTP, INC.",RGH20-75F,Natural Gas,Storage,High Usage,127,,0.88,20,20,75,98,USA; Canada
10203420,Active,WESTINGHOUSE,"HTP, INC.",WGRGH20NG75F,Natural Gas,Storage,High Usage,127,,0.88,20,20,75,98,USA; Canada
10103163,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FCG 75* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103164,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,PCG 75* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103169,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G102-75T75-4NOV* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103171,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G122-75T75-4PV* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103170,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G62-75T75-4NOV* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103167,Active,LOCHINVAR,"LOCHINVAR, LLC",LTN07575* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103168,Active,LOCHINVAR,"LOCHINVAR, LLC",XTN07575* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103173,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 75 XRRS* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103188,Active,KENMORE,SEARS BRANDS MANAGEMENT CORPORATION,153.331763,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103165,Active,STATE,STATE WATER HEATERS,GS6 75 XRRS* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103166,Active,STATE,STATE WATER HEATERS,GSX 75 XRRS* 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103175,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,G2F7575T4NOV 400,Natural Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10232681,Active,BOCK,BOCK WATER HEATERS INC.,32 E,Oil,Storage,High Usage,125,,0.64,32,30,104,78,USA
10103176,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FCG 75* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103177,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,PCG 75* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103184,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G102-75T75-4PV* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103185,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G112-75T75-4PV* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103186,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G62-75T75-4PV* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103187,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,G62-75T77-PVLAT 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103180,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 75 CRRS* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103181,Active,LOCHINVAR,"LOCHINVAR, LLC",LTL07575* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103182,Active,LOCHINVAR,"LOCHINVAR, LLC",XTL07575* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103178,Active,STATE,STATE WATER HEATERS,GS6 75 CRRS* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103179,Active,STATE,STATE WATER HEATERS,GSX 75 CRRS* 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
10103183,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,G2F7575T4PV 401,Propane Gas,Storage,High Usage,125,,0.6,74,71,75.1,74,USA
9989647,Active,HTP,"HTP, INC.",EVG115******,Electric Resistance - Grid-enabled,Storage,High Usage,101,,0.9,111,111,4.5,98,USA; Canada
10021155,Active,WESTINGHOUSE,"HTP, INC.",WEG115******,Electric Resistance - Grid-enabled,Storage,High Usage,101,,0.9,111,111,4.5,98,USA; Canada
9952302,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XE80T10HD50U0,Heat Pump with Tank,Storage,High Usage,89,,3.8,80,72,5,424,USA
9952303,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",10E80-HP4D,Heat Pump with Tank,Storage,High Usage,89,,3.8,80,72,5,424,USA
9952304,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROUH80 T2 RU350 D,Heat Pump with Tank,Storage,High Usage,89,,3.8,80,72,5,424,USA
9952301,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROPH80 T2 RH350 D,Heat Pump with Tank,Storage,High Usage,89,,3.8,80,72,5,424,USA; Canada
10064027,Active,WESTINGHOUSE,"HTP, INC.",WEG100******,Electric Resistance - Grid-enabled,Storage,High Usage,86,,0.93,100,96,4.5,98,USA
10082529,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROG50-38U RH60 EC1,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082530,Active,RHEEM,"RHEEM SALES COMPANY, INC.",24X50FN1,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082531,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG50T06EN38U0,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082532,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",12G50-38FN4,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082533,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",6G50-38FN4,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082534,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",9G50-38FN4,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
